v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,voltage_V_node,combined_centrality_score_load,combined_centrality_score_gen,load_MW,generation_MW,load_pu,generation_pu,P_injection_pu,theta_pu
1,9.52257596986262,52.3604090557601,substation,220000.0,0.002092050209205,0.0011276260770807,0.0,0.0002773228520463,Low,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.11321007472722,52.5438533223737,substation,220000.0,0.0104602510460251,0.0027661248759029,0.0001973632272834,0.001358114290266,Severe,220000.0,0.25228741636894386,0.21547123293908807,257.39222194672567,0.0,2.573922219467257,0.0,-2.573922219467257,-2.2523216622694444e-13
3,9.38974509624863,52.0263130660355,substation,380000.0,0.0104602510460251,0.0020857548184989,0.0001710481303123,0.0012902493068213,Severe,380000.0,0.2136250290296647,0.1259989823466199,0.0,32.888831300241606,0.0,0.32888831300241606,0.32888831300241606,0.026794563325061502
4,9.12526485228443,52.5382642243437,substation,380000.0,0.0104602510460251,0.0024015571214181,0.0003947264545669,0.0014986115722422,Severe,380000.0,0.37441964111481674,0.16752865061608518,0.0,43.72909546929647,0.0,0.4372909546929647,0.4372909546929647,0.0008259768305140314
5,10.3662749375017,52.2846467462009,substation,380000.0,0.0167364016736401,0.0020857548184989,0.0001096462373797,0.0018428626749675,Severe,380000.0,0.22364557008837962,0.1259989823466199,0.0,32.888831300241606,0.0,0.32888831300241606,0.32888831300241606,0.007779453354747242
6,9.91814864613865,52.3799963125719,substation,220000.0,0.0104602510460251,0.0026285892681395,0.0001206108611176,0.0012846512839518,Severe,220000.0,0.19621727467451647,0.19738457520146319,200.18755211693477,0.0,2.0018755211693477,0.0,-2.0018755211693477,-0.0396439767923595
7,9.91720008106816,52.2781708137689,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.015063461112124914
8,10.4149923381504,53.4126068830249,substation,380000.0,0.00836820083682,0.0011276260770807,0.0,0.0008812908831112,Severe,380000.0,0.05149901646275682,0.0,0.0,0.0,0.0,0.0,0.0,0.0019423127725921418
9,10.3787705903765,53.2197927685849,substation,380000.0,0.00418410041841,0.0013671582624352,4.385849495188723e-06,0.0004984578014159,Moderate,380000.0,0.027482210129880634,0.031499745586648385,0.0,8.22220782505868,0.0,0.0822220782505868,0.0822220782505868,0.005059205872961973
10,12.9416466019288,52.5621144045848,substation,380000.0,0.0146443514644351,0.0012372914149538,2.1929247475943617e-05,0.0015109911317401,Severe,380000.0,0.1211782642195769,0.014421570268580155,0.0,3.7643843054470247,0.0,0.037643843054470244,0.037643843054470244,0.11382520655048282
11,13.2061057426421,52.6571349555645,substation,220000.0,0.00418410041841,0.0012686710747974,0.0,0.0004881517339445,Moderate,220000.0,0.021496116986193126,0.01854816102383122,21.93107129137058,0.0,0.2193107129137058,0.0,-0.2193107129137058,0.10990589945029104
12,13.7096697058228,52.5397952580643,substation,380000.0,0.00836820083682,0.0033027123659863,0.0,0.0010278881834138,Severe,380000.0,0.11826948882085347,0.28603531766778684,0.0,74.6622483252082,0.0,0.7466224832520819,0.7466224832520819,0.1100348349266646
13,11.3704262486892,48.2914922329548,substation,380000.0,0.0104602510460251,0.0011276260770807,0.0,0.0010826135601328,Severe,380000.0,0.06866535528367658,0.0,0.0,0.0,0.0,0.0,0.0,0.18219402938802443
14,11.8132328973194,48.2212664654998,substation,220000.0,0.00836820083682,0.0012610364081642,1.3157548485566167e-05,0.0009012870944219,Severe,220000.0,0.06448267150733669,0.017544162098890287,65.78741950435746,0.0,0.6578741950435746,0.0,-0.6578741950435746,0.17867575366445937
15,11.8681562938884,48.2068029185353,substation,380000.0,0.0104602510460251,0.0026733999650491,1.7543397980754893e-05,0.0012014689825973,Severe,380000.0,0.12796828300704668,0.203277418161685,0.0,53.060402461636826,0.0,0.5306040246163682,0.5306040246163682,0.18108089487586854
16,10.7610403785613,52.3677293804096,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.03881708234920528
17,13.4947633747219,52.5897644435618,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.10761170486910954
18,13.6834769666546,54.1390906406635,substation,380000.0,0.00836820083682,0.0025648191892081,4.824434444707596e-05,0.0010185054682413,Severe,380000.0,0.12820798553227866,0.18899847351994295,0.0,49.333246950365826,0.0,0.4933324695036583,0.4933324695036583,0.08761289399232708
19,11.2939727001158,48.0520427719624,substation,220000.0,0.00418410041841,0.0012610364081642,4.385849495188723e-06,0.0004913053599617,Moderate,220000.0,0.02422449737920305,0.017544162098890287,24.71465797111888,0.0,0.24714657971118878,0.0,-0.24714657971118878,0.15077390778391137
20,9.98460981999728,53.741128776279,substation,380000.0,0.006276150627615,0.0011276260770807,0.0,0.0006799682060896,High,380000.0,0.03433267764183789,0.0,0.0,0.0,0.0,0.0,0.0,-0.04487044814368649
21,10.1575015165126,53.5551316685834,substation,380000.0,0.006276150627615,0.0022177419410412,0.0,0.0007534402533774,High,380000.0,0.06779689077809947,0.1433559850168171,0.0,37.419435612009465,0.0,0.37419435612009466,0.37419435612009466,-0.02432667522177606
22,9.20210420095253,53.8951574100045,substation,380000.0,0.006276150627615,0.0019266691727585,1.7543397980754893e-05,0.000748495180087,High,380000.0,0.07071257560776968,0.10507838096733582,0.0,27.428040136309367,0.0,0.2742804013630937,0.2742804013630937,-0.050749409180121906
23,9.98853660865951,53.766277668594,substation,220000.0,0.0104602510460251,0.0018217805734143,5.263019394226468e-05,0.0011734167337326,Severe,220000.0,0.12552738471871214,0.09128497700622541,128.06731676486442,0.0,1.2806731676486443,0.0,-1.2806731676486443,-0.05160346890611212
24,9.72699196993402,54.2914209867842,substation,220000.0,0.00836820083682,0.0031930663919418,6.578774242783085e-05,0.00107552107511,Severe,220000.0,0.159344816817652,0.2716162938447859,162.56901373317245,0.0,1.6256901373317245,0.0,-1.6256901373317245,-0.09965197979411061
25,9.34476098807139,53.9218370583068,substation,380000.0,0.00836820083682,0.0015092164788209,4.3858494951887234e-05,0.0009436913615126,Severe,380000.0,0.09284050375991333,0.050181150208829094,0.0,13.09851359854684,0.0,0.1309851359854684,0.1309851359854684,-0.050917695913679846
26,9.34400177215961,53.8517774635399,substation,380000.0,0.00418410041841,0.0015551498648616,1.3157548485566167e-05,0.0005184645119875,Moderate,380000.0,0.03917864460488578,0.05622163271047704,0.0,14.675227999479379,0.0,0.1467522799947938,0.1467522799947938,-0.05248352147085669
