from,to,flow_pu,x_pu,theta_from,theta_to,thermal_limit_pu,loading_pct
1,2,7.85391703557933e-12,0.028677685950413225,0.0,-2.2523216622694444e-13,0.4297304656118763,1.82763794147023e-09
2,6,0.8032891003831883,0.049352066115702475,-2.2523216622694444e-13,-0.0396439767923595,0.739532694077199,108.62117480628028
2,4,-4.512714883040093,0.0001830332409972299,-2.2523216622694444e-13,0.0008259768305140314,0.08972510928714193,5029.489424859122
2,287,0.31359358734481685,0.05058115702479339,-2.2523216622694444e-13,-0.015861926483681676,0.7579504216984665,41.373891796523466
2,447,0.8219099758526858,0.02824396694214876,-2.2523216622694444e-13,-0.023213998187630775,0.42323125672561945,194.1987891469768
3,4,2.063738192822143,0.012583275623268698,0.026794563325061502,0.0008259768305140314,4.975061541118984,41.48166159886276
3,206,0.18378117791673534,0.00024671052631578943,0.026794563325061502,0.02674922257393073,0.19174395493983984,95.84718223549585
3,7,1.25698153047753,0.00933275623268698,0.026794563325061502,0.015063461112124914,3.689900626512568,34.06545752061458
3,458,0.2597304007608482,0.0002794321329639889,0.026794563325061502,0.026721986305181307,0.11047934573500694,235.09407938007817
3,472,-3.4353429889748894,0.005032686980609418,0.026794563325061502,0.04408356925960327,2.2952768582926844,149.67009215307604
4,90,-0.6359469175624575,0.013687673130193907,0.0008259768305140314,0.00953061036626332,5.411708224169548,11.751315688495872
4,205,-1.142194252682351,0.004500519390581718,0.0008259768305140314,0.005966444212521947,3.5587491851071946,32.09538501511302
4,286,-0.2335445652801789,0.00019338642659279777,0.0008259768305140314,0.0008711411794437336,0.0764593737211913,305.44922605800815
5,6,2.116992447243343,0.022401322314049586,0.007779453354747242,-0.0396439767923595,0.33568017604291855,630.6575717991383
5,7,-1.2569815304775307,0.005794840720221606,0.007779453354747242,0.015063461112124914,2.2911116363670496,54.86339078922799
5,16,-4.97174985778597,0.0062427977839335175,0.007779453354747242,0.03881708234920528,2.3449857188086463,212.0162105000722
5,285,0.07450027214294562,0.0070882644628099175,0.007779453354747242,0.007251375723246733,0.053108245784725366,140.28004699106987
5,288,2.7142403757886018,0.01061289256198347,0.007779453354747242,-0.021026488140894826,0.15903247110090693,1706.720870900888
5,289,3.0353910842020593,0.004400661157024793,0.007779453354747242,-0.005578274285880132,0.0659431926020207,4603.039319799396
5,292,-1.4006551540856602,0.0016194598337950137,0.007779453354747242,0.010047758117786935,0.6402873605980514,218.7541470094612
5,29,0.017150675974627275,0.014868074792243767,0.007779453354747242,0.007524455821618946,5.878404741654849,0.2917573173057684
6,220,0.5539458796356793,0.03210049586776859,-0.0396439767923595,-0.057425914212572066,0.2405103581139806,230.32100736932003
6,290,-0.15927705313446333,0.009793586776859504,-0.0396439767923595,-0.03808408315092467,0.1748505151676717,91.09327071854818
6,455,0.5237371999559699,0.04033123966942149,-0.0396439767923595,-0.06076694732757545,0.30217853755377594,173.32044962417797
8,9,-0.6392491761437399,0.004875865650969529,0.0019423127725921418,0.005059205872961973,3.8555511944671625,16.579968567427727
8,21,5.317765456196446,0.00493985457063712,0.0019423127725921418,-0.02432667522177606,2.338630076149727,227.38805552999244
8,98,-2.289402555002167,0.015100069252077563,0.0019423127725921418,0.036512449899008176,5.970128609861113,38.34762539655618
8,97,-2.3891137250505388,0.01924636426592798,0.0019423127725921418,0.04792406579764292,7.609453176780371,31.396654523622345
9,29,-0.5570270978931531,0.004425727146814404,0.005059205872961973,0.007524455821618946,1.7498039126542644,31.833686841413154
10,11,0.2150535820438988,0.018224793388429753,0.11382520655048282,0.10990589945029104,0.2730955685208385,78.74663921084066
10,12,0.08382712503326595,0.04521652892561983,0.11382520655048282,0.1100348349266646,0.6775623410535151,12.371868971189638
10,37,0.8659804312172226,0.01866045706371191,0.11382520655048282,0.09766561589573912,7.716687961804201,11.22217764283878
10,38,0.5063520429733974,0.005180851800554017,0.11382520655048282,0.1112018716569299,2.8615930262212594,17.694760866888068
10,43,0.044173872741500135,0.03638347107438017,0.11382520655048282,0.1122180077293491,0.5452004039797476,8.10231841705331
10,45,-0.10461657212173704,0.046348429752066114,0.11382520655048282,0.11867402039436911,1.0417855366106197,10.042044974256422
10,73,-1.5731266388330887,0.022622922437673127,0.11382520655048282,0.14941392848544122,6.708334622301746,23.450330482967495
11,12,-0.004257130869807526,0.03028694214876033,0.10990589945029104,0.1100348349266646,0.4538449083392378,0.938014460795807
12,17,0.5767265210333802,0.004201523545706371,0.1100348349266646,0.10761170486910954,1.2458702427031358,46.29105835147567
12,46,0.24946595638218466,0.0029482340720221605,0.1100348349266646,0.10929935089424905,1.165646083346613,21.401518003299827
13,14,0.13472901820118358,0.026113719008264463,0.18219402938802443,0.17867575366445937,0.7826196749405083,17.215133035267115
13,15,0.14490241243633034,0.007681959833795014,0.18219402938802443,0.18108089487586854,1.5186118493209397,9.541767535998398
13,19,1.5331957002910375,0.02049322314049587,0.18219402938802443,0.15077390778391137,0.6141752397512723,249.6348926264023
13,61,-0.07909972084866548,0.00301904432132964,0.18219402938802443,0.18243283495107135,2.3872847966877955,3.3133759725027896
13,305,-1.7337274100798787,0.008664993074792243,0.18219402938802443,0.19721676538994407,6.851772955007885,25.303340047377322
14,15,-0.6423080871276866,0.0037445289256198347,0.17867575366445937,0.18108089487586854,0.05611115769543337,1144.7065316564679
14,256,0.11187429877205929,0.033017520661157033,0.17867575366445937,0.17498194169330045,0.7368418630809986,15.1829455379032
14,338,0.007288611513247563,0.021669421487603306,0.17867575366445937,0.1785178136695194,0.32471276104736013,2.244633530797547
15,339,-0.48314328868185047,0.013196849030470912,0.18108089487586854,0.18745686391668814,2.6088253186650885,18.51957220842484
15,340,9.093891017974507e-15,0.0030521121883656513,0.18108089487586854,0.1810808948758685,1.2067164720956862,7.536062719174857e-13
15,325,0.5163416386068708,0.010601627423822715,0.18108089487586854,0.17560683319995238,12.57472627524749,4.10618591056932
16,380,-4.971749857785974,0.00453185595567867,0.03881708234920528,0.061348336552357226,1.7917641598262342,277.47791641664134
17,18,0.5767265210333739,0.034676419667590025,0.10761170486910954,0.08761289399232708,10.282536541175778,5.608796221865182
18,42,0.9196279157675767,0.025798130193905814,0.08761289399232708,0.06388821329140489,7.649873284374249,12.021479070065423
18,39,-0.18422521112084653,0.009793767313019392,0.08761289399232708,0.08941715284323652,3.874327207190281,4.75502458282168
18,177,0.33465628589030527,0.037264132231404956,0.08761289399232708,0.07514221790283988,0.5583969683646471,59.93160866728889
19,421,1.2860491205798523,0.04721520661157025,0.15077390778391137,0.09005283284310542,1.4150244030312817,90.88529624117174
20,21,-3.793383600171179,0.005415685595567867,-0.04487044814368649,-0.02432667522177606,1.0706023587164661,354.32236528219744
20,22,0.5913669031617523,0.009941308864265927,-0.04487044814368649,-0.050749409180121906,3.930504653934222,15.045571885274992
20,23,3.202016697009425,0.0021027438016528923,-0.04487044814368649,-0.05160346890611212,0.031509274301602566,10162.140410979157
21,182,1.8985762121453622,0.0051295013850415514,-0.02432667522177606,-0.034065424531582636,2.028055796429235,93.61558076893913
22,25,0.09555316959584205,0.0017611842105263156,-0.050749409180121906,-0.050917695913679846,0.6963210609813703,13.722573529683677
22,391,0.7700941349290046,0.012136198347107437,-0.050749409180121906,-0.06009542434756442,0.2364433988947604,325.69914767287247
23,24,1.1606050248191815,0.041399537190082644,-0.05160346890611212,-0.09965197979411061,0.49492169181989254,234.5027595277716
23,27,0.2562545382447411,0.013119206611570247,-0.05160346890611212,-0.05496532513849741,0.23437970192676147,109.33307625965622
23,401,0.16167694409040992,0.031984,-0.05160346890611212,-0.05677454428589979,0.7688574019772472,21.028209349956214
23,427,0.34280702220645093,0.026003305785123967,-0.05160346890611212,-0.06051758472983425,0.38965531325683217,87.97699159834058
24,82,0.22996084060576388,0.020897851239669422,-0.09965197979411061,-0.1044576672320392,0.15657545310732202,146.86902451314708
24,390,0.2858456662299227,0.01633190082644628,-0.09965197979411061,-0.10432038286664717,0.12236544047889991,233.5999977699688
24,261,-0.9808916193482291,0.04185586776859504,-0.09965197979411061,-0.058595909879348075,0.31360168975782193,312.7826320405735
25,26,1.1207475300817198,0.0013971260387811637,-0.050917695913679846,-0.05248352147085669,0.5283945089835972,212.10431051555662
25,30,-0.7474569445056094,0.009945290858725761,-0.050917695913679846,-0.04348401919619712,3.146251890641085,23.75705984409616
25,387,-0.1467522799947956,0.008807825484764543,-0.050917695913679846,-0.049625127441994384,3.482358262033918,4.214163763526242
26,427,1.2674998100765154,0.006338512396694215,-0.05248352147085669,-0.06051758472983425,0.09498157864717138,1334.469091932978
27,28,0.2562545382447424,0.015077024793388431,-0.05496532513849741,-0.058828881165031696,0.27172637542925204,94.30609665327172
28,403,0.8255057763346626,0.0031317685950413227,-0.058828881165031696,-0.0614141742303818,0.04246380976735591,1944.0219350484913
28,30,-2.0134906242723303,0.007621024793388429,-0.058828881165031696,-0.04348401919619712,0.15893141632859012,1266.8927709732643
28,404,0.5182387680508794,0.004618181818181819,-0.058828881165031696,-0.06122220202112121,0.06920270437576843,748.8706875339145
