u,v,x_pu,P_th_max_pu,cost_c
1,2,0.028677685950413225,0.4297304656118763,43375.0
2,6,0.049352066115702475,0.739532694077199,74645.0
2,4,0.0001830332409972299,0.08972510928714193,902.0
2,287,0.05058115702479339,0.7579504216984665,76504.0
2,447,0.02824396694214876,0.42323125672561945,42719.0
3,4,0.012583275623268698,4.975061541118984,72681.0
3,206,0.00024671052631578943,0.19174395493983984,1820.0
3,7,0.00933275623268698,3.689900626512568,53906.0
3,458,0.0002794321329639889,0.11047934573500694,1614.0
3,472,0.005032686980609418,2.2952768582926844,29051.0
4,90,0.013687673130193907,5.411708224169548,79060.0
4,205,0.004500519390581718,3.5587491851071946,25995.0
4,286,0.00019338642659279777,0.0764593737211913,1117.0
5,6,0.022401322314049586,0.33568017604291855,33882.0
5,7,0.005794840720221606,2.2911116363670496,33471.0
5,16,0.0062427977839335175,2.3449857188086463,36248.0
5,285,0.0070882644628099175,0.053108245784725366,10721.0
5,288,0.01061289256198347,0.15903247110090693,16052.0
5,289,0.004400661157024793,0.0659431926020207,6656.0
5,292,0.0016194598337950137,0.6402873605980514,9354.0
5,29,0.014868074792243767,5.878404741654849,85878.0
6,220,0.03210049586776859,0.2405103581139806,48552.0
6,290,0.009793586776859504,0.1748505151676717,14726.0
6,455,0.04033123966942149,0.30217853755377594,61001.0
8,9,0.004875865650969529,3.8555511944671625,28163.0
8,21,0.00493985457063712,2.338630076149727,28833.0
8,98,0.015100069252077563,5.970128609861113,87218.0
8,97,0.01924636426592798,7.609453176780371,111167.0
9,29,0.004425727146814404,1.7498039126542644,25563.0
10,11,0.018224793388429753,0.2730955685208385,27565.0
10,12,0.04521652892561983,0.6775623410535151,68390.0
10,37,0.01866045706371191,7.716687961804201,104169.0
10,38,0.005180851800554017,2.8615930262212594,29669.0
10,43,0.03638347107438017,0.5452004039797476,55030.0
10,45,0.046348429752066114,1.0417855366106197,70102.0
10,73,0.022622922437673127,6.708334622301746,130669.99999999999
11,12,0.03028694214876033,0.4538449083392378,45809.0
12,17,0.004201523545706371,1.2458702427031358,24268.0
12,46,0.0029482340720221605,1.165646083346613,17029.0
13,14,0.026113719008264463,0.7826196749405083,39497.0
13,15,0.007681959833795014,1.5186118493209397,44371.0
13,19,0.02049322314049587,0.6141752397512723,30996.0
13,61,0.00301904432132964,2.3872847966877955,17438.0
13,305,0.008664993074792243,6.851772955007885,50049.0
14,15,0.0037445289256198347,0.05611115769543337,5432.0
14,256,0.033017520661157033,0.7368418630809986,51446.0
14,338,0.021669421487603306,0.32471276104736013,32775.0
15,339,0.013196849030470912,2.6088253186650885,76225.0
15,340,0.0030521121883656513,1.2067164720956862,17629.0
15,325,0.010601627423822715,12.57472627524749,61235.0
16,380,0.00453185595567867,1.7917641598262342,26176.0
17,18,0.034676419667590025,10.282536541175778,200291.0
18,42,0.025798130193905814,7.649873284374249,149010.0
18,39,0.009793767313019392,3.874327207190281,56436.0
18,177,0.037264132231404956,0.5583969683646471,56362.0
19,421,0.04721520661157025,1.4150244030312817,71413.0
20,21,0.005415685595567867,1.0706023587164661,31281.0
20,22,0.009941308864265927,3.930504653934222,57421.0
20,23,0.0021027438016528923,0.031509274301602566,3314.0
21,182,0.0051295013850415514,2.028055796429235,29628.0
22,25,0.0017611842105263156,0.6963210609813703,10108.0
