l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
550.0,375.0,374.0,220000.0,6.0,2.0,50.0,11098.0,0.22196,3.55136,127.627,57.7096
551.0,376.0,372.0,220000.0,6.0,2.2,50.0,46719.0,1.675008,14.852224000000001,533.7518,180.89994
552.0,322.0,377.0,380000.0,3.0,4.0,50.0,81072.0,0.5067,20.268,1110.6864,843.1488
553.0,371.0,322.0,380000.0,3.0,4.0,50.0,102607.0,0.641294,25.65175,1405.7159,1067.1128
554.0,371.0,377.0,380000.0,3.0,4.0,50.0,27503.0,0.171894,6.87575,376.7911,286.0312
555.0,378.0,372.0,220000.0,6.0,1.0,50.0,28905.0,1.1562,9.2496,332.4075,75.153
556.0,371.0,376.0,220000.0,6.0,1.0,50.0,114917.0,4.59668,36.77344,1321.5455,298.7842
557.0,140.0,379.0,220000.0,3.0,1.8,50.0,647.0,0.026872,0.19705599999999998,7.0817000000000005,1.79894
558.0,16.0,380.0,380000.0,3.0,3.8,50.0,26177.0,0.1359244,6.5232,357.47136,352.66296
559.0,380.0,381.0,380000.0,3.0,3.8,50.0,5531.0,0.032297000000000006,1.36765,74.94722,61.62311999999999
560.0,37.0,380.0,380000.0,3.0,3.4,50.0,48738.0,0.35757900000000004,12.28485,673.2097799999999,538.85936
561.0,37.0,380.0,380000.0,3.0,3.4,50.0,48758.0,0.35757900000000004,12.28485,673.2097799999999,538.85936
562.0,382.0,227.0,380000.0,3.0,4.0,50.0,41042.0,0.20597959999999996,10.261050000000001,562.3055400000001,595.0796799999999
563.0,383.0,303.0,380000.0,3.0,3.8,50.0,20318.0,0.13680640000000005,5.128950000000001,281.06646,202.65283999999997
564.0,253.0,384.0,380000.0,3.0,3.8,50.0,18314.0,0.10676699999999999,4.5646,250.14007999999998,208.22776
565.0,385.0,224.0,380000.0,3.0,4.0,50.0,2192.0,0.0111222,0.5150500000000001,28.224740000000004,33.101119999999995
566.0,386.0,273.0,380000.0,3.0,4.0,50.0,50615.0,0.316344,12.65375,693.4255,526.396
567.0,386.0,241.0,380000.0,3.0,4.0,50.0,19665.0,0.122906,4.91625,269.4105,204.516
568.0,25.0,387.0,380000.0,6.0,2.0,50.0,50874.0,0.317963,12.7185,696.9738,529.0896
569.0,80.0,73.0,380000.0,3.0,3.2,50.0,43423.0,0.3822562,10.900250000000002,597.3337,362.1384
570.0,80.0,73.0,380000.0,3.0,3.2,50.0,43440.0,0.3822562,10.900250000000002,597.3337,362.1384
