l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max,V_base_kV_line,Z_base_ohms_line,x_pu,I_th_max_kA,P_th_max_MVA_line,P_th_max_pu_line
283.0,213,214,380000.0,3.0,4.0,50.0,15048.0,0.09405,3.762,206.1576,156.4992,380.0,1444.0,0.002605263157894737,0.1564992,103.00453498267562,1.0300453498267563
284.0,213,205,380000.0,3.0,4.0,50.0,45502.0,0.284388,11.3755,623.3774,473.2208,380.0,1444.0,0.007877770083102493,0.4732208,311.46413814338825,3.1146413814338825
285.0,90,91,380000.0,3.0,4.0,50.0,61846.0,0.386537,15.4615,847.2902,643.1984,380.0,1444.0,0.010707409972299168,0.6431984,423.33987709586364,4.233398770958637
286.0,129,113,380000.0,3.0,4.0,50.0,12907.0,0.0810962,3.243850000000001,177.76298000000003,134.94416,380.0,1444.0,0.0022464335180055407,0.13494416,88.81745369578744,0.8881745369578744
287.0,156,215,380000.0,3.0,2.0,50.0,57405.0,0.717563,14.35125,786.4485,298.506,380.0,1444.0,0.009938538781163435,0.298506,196.470472178379,1.96470472178379
288.0,156,215,380000.0,3.0,2.0,50.0,57397.0,0.717463,14.34925,786.3389,298.4644,380.0,1444.0,0.009937153739612188,0.2984644,196.44309191921295,1.9644309191921294
289.0,34,158,220000.0,3.0,2.0,50.0,33166.0,1.32664,10.61312,381.409,86.2316,220.0,484.0,0.02192793388429752,0.0862316,32.85865273195041,0.32858652731950405
290.0,216,215,380000.0,6.0,3.8,50.0,27014.0,0.1383494,6.6202,362.78696,356.69816000000003,380.0,1444.0,0.004584626038781163,0.35669816000000004,234.7713477128064,2.347713477128064
291.0,34,158,220000.0,3.0,2.0,50.0,33170.0,1.3268,10.6144,381.455,86.242,220.0,484.0,0.021930578512396694,0.086242,32.862615664198124,0.32862615664198125
292.0,207,50,380000.0,3.0,3.0,50.0,152121.0,1.1893484,35.68044999999999,1955.28866,1113.23004,380.0,1444.0,0.024709452908587254,1.11323004,732.7049761209346,7.327049761209346
293.0,209,217,220000.0,3.0,2.0,50.0,73715.0,2.954124,23.508608,844.8406000000001,246.88872,220.0,484.0,0.0485715041322314,0.24688872,94.0772375082422,0.9407723750824221
294.0,218,209,220000.0,3.0,1.6,50.0,28876.0,1.383144,9.26528,332.971,67.96842,220.0,484.0,0.01914314049586777,0.06796842,25.89944648503974,0.2589944648503974
295.0,219,218,220000.0,3.0,1.6,50.0,63540.0,3.517608,20.037376,720.0932,129.88326,220.0,484.0,0.041399537190082644,0.12988326,49.492169181989254,0.49492169181989254
296.0,218,217,220000.0,3.0,2.2,50.0,46981.0,1.675008,14.852224,533.7518,180.89994,220.0,484.0,0.030686413223140495,0.18089993999999998,68.9321351765555,0.6893213517655551
297.0,220,6,220000.0,3.0,1.0,50.0,48552.0,3.88416,15.53664,558.348,63.1176,220.0,484.0,0.03210049586776859,0.06311760000000001,24.051035811398062,0.2405103581139806
298.0,7,3,380000.0,3.0,4.0,50.0,53906.0,0.336913,13.4765,738.5122,560.6224,380.0,1444.0,0.00933275623268698,0.5606224,368.9900626512568,3.689900626512568
299.0,210,221,380000.0,3.0,4.0,50.0,114876.0,0.717975,28.719,1573.8012,1194.7104,380.0,1444.0,0.019888504155124654,1.1947104,786.3336629897558,7.8633366298975576
300.0,222,223,220000.0,3.0,2.0,50.0,15950.0,0.63484,5.07872,182.5165,41.2646,220.0,484.0,0.010493223140495868,0.0412646,15.72392442588147,0.15723924425881472
301.0,221,224,380000.0,3.0,4.0,50.0,46926.0,0.293288,11.7315,642.8862,488.0304,380.0,1444.0,0.008124307479224376,0.4880304,321.2115104065016,3.212115104065016
302.0,225,51,380000.0,6.0,4.0,50.0,83098.0,0.259681,20.7745,1138.4426,1728.4384,380.0,1444.0,0.014386772853185596,1.7284384,1137.6223880901618,11.376223880901618
303.0,226,227,220000.0,3.0,2.2,50.0,19756.0,0.8695600000000001,6.350528,228.2221,56.91139999999999,220.0,484.0,0.01312092561983471,0.056911399999999994,21.686155992572584,0.21686155992572584
304.0,228,229,220000.0,3.0,2.2,50.0,69709.0,2.3153214,22.303296,801.5246999999999,236.57556,220.0,484.0,0.04608119008264463,0.23657556,90.14739574479306,0.9014739574479306
305.0,230,231,220000.0,3.0,2.2,50.0,86251.0,3.524052,25.828992,928.2294,232.15452,220.0,484.0,0.05336568595041322,0.23215452,88.46275324628832,0.8846275324628832
306.0,221,224,380000.0,3.0,4.0,50.0,47002.0,0.293763,11.7505,643.9274,488.8208,380.0,1444.0,0.00813746537396122,0.4888208,321.73173533065653,3.2173173533065653
307.0,227,221,380000.0,3.0,4.0,50.0,16697.0,0.104356,4.17425,228.7489,173.6488,380.0,1444.0,0.0028907548476454293,0.1736488,114.29204682387923,1.1429204682387923
308.0,232,233,220000.0,3.0,2.0,50.0,39816.0,1.59264,12.74112,457.884,103.5216,220.0,484.0,0.026324628099173554,0.1035216,39.4470275937809,0.39447027593780903
309.0,234,235,220000.0,3.0,1.8,50.0,967.0,0.042792,0.302208,10.8606,2.2924200000000003,220.0,484.0,0.000624396694214876,0.0022924200000000003,0.8735293407031501,0.008735293407031502
310.0,208,96,380000.0,3.0,4.0,50.0,45951.0,0.287194,11.48775,629.5287,477.8904,380.0,1444.0,0.007955505540166205,0.4778904,314.5375722347772,3.145375722347772
311.0,96,236,220000.0,3.0,2.0,50.0,26324.0,1.05296,8.42368,302.726,68.4424,220.0,484.0,0.017404297520661156,0.0684424,26.080057122229466,0.26080057122229466
312.0,233,96,220000.0,3.0,2.0,50.0,22939.0,0.91756,7.34048,263.7985,59.6414,220.0,484.0,0.015166280991735538,0.0596414,22.726425707598455,0.22726425707598455
